date_week,card_id,count_trx,sales
,5000700307761,0,
6/25/2023,5000700233791,1,301.5
5/28/2023,5000700233791,1,158.75
6/18/2023,5000700233791,1,213.75
7/16/2023,5000700233791,1,279.75
7/9/2023,5000700233791,1,28.5
12/10/2023,5000700233791,2,446.5
5/28/2023,5000700274518,4,3859.5
4/23/2023,5000700274518,3,508
3/19/2023,5000700274518,2,652
1/1/2023,5000700274518,1,282.75
8/13/2023,5000700274518,3,1049
11/19/2023,5000700274518,2,134
9/24/2023,5000700274518,1,335.25
1/15/2023,5000700274518,4,2684.25
7/2/2023,5000700274518,2,1290.75
3/26/2023,5000700167122,1,599.5
11/19/2023,5000700167122,1,659.75
12/17/2023,5000700167122,1,69
10/15/2023,5000700167122,3,3328.25
8/27/2023,5000700167122,1,51.5
3/5/2023,5000700130691,2,643.25
6/4/2023,5000700130691,1,89.75
9/3/2023,5000700130691,2,1170.5
10/15/2023,5000700130691,4,1604.75
7/16/2023,5000700130691,1,808.81
1/1/2023,5000700130691,3,1914.5
9/24/2023,5000700130691,1,519.55
,5000700311262,0,
,5000700292345,0,
12/24/2023,5000700250577,1,399.5
7/23/2023,5000700250577,1,180
6/18/2023,5000700224773,1,650.75
2/12/2023,5000700224773,2,1402
8/20/2023,5000700224773,2,487
1/29/2023,5000700037370,3,1344.25
2/12/2023,5000700037370,2,1199.5
3/19/2023,5000700037370,3,1673.5
12/3/2023,5000700037370,4,4490.26
5/14/2023,5000700037370,4,1459
11/5/2023,5000700037370,3,515.75
11/26/2023,5000700037370,2,2185.22
6/4/2023,5000700140492,1,2092.25
4/30/2023,5000700140492,2,1366.5
12/10/2023,5000700140492,4,2815.5
7/16/2023,5000700140492,4,17306.05
10/8/2023,5000700294108,3,1990.77
9/3/2023,5000700294108,1,194
10/1/2023,5000700288880,2,432.5
7/2/2023,5000700288880,1,366.77
10/15/2023,5000700288880,2,298
12/10/2023,5000700048924,3,793.5
10/22/2023,5000700221049,1,124.5
9/3/2023,5000700221049,1,249.75
1/8/2023,5000700237087,2,1118.5
2/12/2023,5000700244826,1,520.5
12/17/2023,5000700231283,3,3175.8
11/12/2023,5000700231283,1,2079.8
6/18/2023,5000700231283,2,787.75
6/25/2023,5000700206175,1,899.5
4/16/2023,5000700206175,1,186.75
2/26/2023,5000700206175,1,192.5
11/26/2023,5000700206175,1,182.75
12/24/2023,5000700206175,1,4261.1
8/20/2023,5000700187890,1,121
1/1/2023,5000700271496,1,167.5
7/2/2023,5000700271496,1,299.75
3/26/2023,5000700179012,1,1592.75
11/26/2023,5000700179012,2,1400.37
7/2/2023,5000700179012,3,3391.02
6/25/2023,5000700179012,2,666.25
10/15/2023,5000700296920,2,188.8
9/3/2023,5000700092943,1,1159.75
12/10/2023,5000700092943,1,2099
12/10/2023,5000700100530,3,9627.6
1/29/2023,5000700100530,1,999
8/6/2023,5000700100530,1,1499.75
,5000700312637,0,
7/23/2023,5000700248243,2,1460.25
12/17/2023,5000700248243,1,2595
8/13/2023,5000700248243,2,107.92
12/24/2023,5000700302136,3,2452.95
10/15/2023,5000700281837,1,296.92
3/26/2023,5000700281837,1,509.5
7/23/2023,5000700261873,2,859.12
1/1/2023,5000700261873,1,518.75
6/11/2023,5000700070571,1,539.8
3/5/2023,5000700070571,1,762.85
5/28/2023,5000700070571,3,1097.75
4/9/2023,5000700070571,1,598
8/6/2023,5000700070571,1,129
7/30/2023,5000700115466,1,899
5/21/2023,5000700115466,1,7884.05
7/2/2023,5000700115466,1,376.62
12/24/2023,5000700115466,1,20124.5
4/16/2023,5000700229468,1,474
3/19/2023,5000700229468,1,492.5
1/29/2023,5000700229468,1,611
10/15/2023,5000700229468,1,504.82
